section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"Masters Candidate, Program Evaluation and Data Analytics",Arizona State University,"Tempe, AZ",2020,2021,Learning R programming and Regression and Big Data,Graduate Student,
education,TRUE,"Bachelors, Psychology",University of California San Diego,"La Jolla, CA",2012,2018,Took many science and psychology classes to deepen my knowledge of the world,Bachelors Student,
research_positions,FALSE,..,Data Science Lab,Johns Hopkins University,2017,2018,Building R Shiny applications in the contexts of wearables and statistics education.,Work primarily done in R Shiny and Javascript (node and d3js).,NA
industry_positions,FALSE,Co-Founder,Sentimenta,,,,,,
industry_positions,FALSE,Data Science Intern,Dealer.com,"Burlington, VT",2015,2015,Worked with the product analytics team to help parse and visualize large stores of data to drive business decisions.,NA,NA
teaching_positions,FALSE,..,Vanderbilt Biostatistics Department,"Nashville, TN",2017,2017,TA and lectured,Covered introduction to R language for statistics applications,Graduate level class
data_science_writings,FALSE,..,LiveFreeOrDichotomize.com,NA,NA,2017,Pure javascript implementation of traveling salesman solution using simulated annealing.,Allows reader to customize the number and location of cities to attempt to trick the algorithm.,NA
about_me_press,FALSE,..,Science,N/A,2017,2017,Story of the app [Papr](https://jhubiostatistics.shinyapps.io/papr/) made with Jeff Leek and Lucy D’Agostino McGowan.,NA,NA
by_me_press,FALSE,[NAME](link),The New York Times,N/A,2016,2016,Most shared and discussed article from the New York Times for August 2016.,NA,NA
academic_articles,FALSE,..,International Association of Great Lakes Research Conference,N/A,2015,2015,"Authored with Brian O'Malley, Sture Hansson, and Jason Stockwell.",NA,NA
